,accel_z,activity_index,app_frame_no,impedance_60kHz,perfusion_index_green,perfusion_index_infrared,phase_60kHz,rr_quality,sleep_state,temp_amb,temp_skin,time_stamp
0,-64,501,0,208651.9375,0,0,304,25,0,2020,2897,1484772847
1,-378,510,1,248516.3125,0,0,309,25,0,2072,2903,1484772857
2,-455,600,2,134716.7656,0,0,312,25,0,2140,3001,1484772867
3,-36,993,3,166514.9219,0,0,308,25,0,2194,3039,1484772877
4,-144,721,4,155111.5156,0,0,309,25,0,2268,3078,1484772900
5,-121,828,5,570860.875,0,0,307,25,0,2304,3102,1484772910
6,168,903,6,207593.0781,0,0,303,25,0,2328,3118,1484772920
7,-223,593,7,468772.3125,0,0,305,21,0,2346,3117,1484772930
8,-365,118,8,85647.17969,0,0,322,26,0,2366,3115,1484772950
9,-240,40,9,81193.52344,0,0,324,75,0,2384,3118,1484772960
10,-232,16,10,75458.77344,524,20,327,76,0,2398,3118,1484772970
11,-247,23,11,70466.23438,1181,47,330,23,0,2409,3119,1484772980
12,-17,17,12,64190.4375,1182,47,335,50,0,2428,3138,1484773000
13,-35,18,13,25819.69141,2883,2913,288,35,0,2451,3142,1484773010
14,-54,17,14,24161.74023,2910,2875,288,29,0,2461,3142,1484773020
15,-78,18,15,22319.23438,2766,2709,288,33,0,2474,3143,1484773030
16,-110,12,16,20956.04883,2628,2550,287,35,0,2481,3145,1484773040
17,-337,39,17,19891.00195,2496,2404,287,25,0,2496,3144,1484773050
18,-663,58,18,18915.375,2363,2267,287,27,0,2499,3142,1484773060
19,-176,13,19,18069.86523,2250,2140,287,31,0,2505,3141,1484773070
20,-203,13,20,17368.8418,2168,2015,287,30,0,2521,3141,1484773080
21,-208,18,21,16614.37891,2067,1898,287,47,0,2526,3137,1484773090
22,-227,28,22,15849.79102,1956,1787,287,25,0,2526,3137,1484773101
23,-189,14,23,15373.28418,1851,1686,287,33,0,2531,3141,1484773111
24,-367,43,24,14679.0791,1751,1589,287,27,0,2541,3142,1484773121
25,-580,38,25,14172.77344,1661,1500,287,27,0,2548,3142,1484773131
26,-235,17,26,13785.98633,1582,1417,287,34,0,2553,3142,1484773141
27,-268,11,27,13372.2373,1502,1339,287,32,0,2559,3142,1484773151
28,-273,11,28,12990.94922,1420,1262,287,50,0,2575,3150,1484773161
29,-252,18,29,12551.75391,1346,1189,287,40,0,2578,3163,1484773171
30,-257,11,30,12166.07324,1285,1123,287,47,0,2582,3165,1484773181
31,-260,9,31,11779.66016,1232,1060,287,61,0,2591,3165,1484773191
32,-263,10,32,11422.44141,1184,999,287,36,0,2602,3176,1484773201
33,-273,10,33,11101.18555,1138,939,287,52,0,2607,3188,1484773211
34,-274,13,34,10768.11914,1093,884,287,35,0,2613,3188,1484773222
35,-281,9,35,10486.6582,1050,832,287,33,0,2627,3194,1484773232
36,-280,9,36,10222.20117,1010,783,287,33,0,2633,3212,1484773242
37,-287,12,37,9965.175781,975,737,287,28,0,2638,3212,1484773252
38,-276,15,38,9742.029297,943,694,287,28,0,2654,3219,1484773262
39,-287,10,39,9503.455078,909,655,287,35,0,2658,3234,1484773272
40,-285,9,40,9299.806641,881,619,287,35,0,2662,3235,1484773282
